image_id,split,image_souce_url,label_source_url,tiff_image_path,tif_label_path,png_image_path,png_label_path
99995,train,,,Dataset_new/train/99995_sat.jpg,Dataset_new/train_labels/99995_mask.png,,
999764,train,,,Dataset_new/train/999764_sat.jpg,Dataset_new/train_labels/999764_mask.png,,
999667,train,,,Dataset_new/train/999667_sat.jpg,Dataset_new/train_labels/999667_mask.png,,
999531,train,,,Dataset_new/train/999531_sat.jpg,Dataset_new/train_labels/999531_mask.png,,
999431,train,,,Dataset_new/train/999431_sat.jpg,Dataset_new/train_labels/999431_mask.png,,
999248,train,,,Dataset_new/train/999248_sat.jpg,Dataset_new/train_labels/999248_mask.png,,
999233,train,,,Dataset_new/train/999233_sat.jpg,Dataset_new/train_labels/999233_mask.png,,
99913,train,,,Dataset_new/train/99913_sat.jpg,Dataset_new/train_labels/99913_mask.png,,
999130,train,,,Dataset_new/train/999130_sat.jpg,Dataset_new/train_labels/999130_mask.png,,
99884,train,,,Dataset_new/train/99884_sat.jpg,Dataset_new/train_labels/99884_mask.png,,
99816,train,,,Dataset_new/train/99816_sat.jpg,Dataset_new/train_labels/99816_mask.png,,
998129,train,,,Dataset_new/train/998129_sat.jpg,Dataset_new/train_labels/998129_mask.png,,
998098,train,,,Dataset_new/train/998098_sat.jpg,Dataset_new/train_labels/998098_mask.png,,
998069,train,,,Dataset_new/train/998069_sat.jpg,Dataset_new/train_labels/998069_mask.png,,
997999,train,,,Dataset_new/train/997999_sat.jpg,Dataset_new/train_labels/997999_mask.png,,
997980,train,,,Dataset_new/train/997980_sat.jpg,Dataset_new/train_labels/997980_mask.png,,
997873,train,,,Dataset_new/train/997873_sat.jpg,Dataset_new/train_labels/997873_mask.png,,
997777,train,,,Dataset_new/train/997777_sat.jpg,Dataset_new/train_labels/997777_mask.png,,
997706,train,,,Dataset_new/train/997706_sat.jpg,Dataset_new/train_labels/997706_mask.png,,
997687,train,,,Dataset_new/train/997687_sat.jpg,Dataset_new/train_labels/997687_mask.png,,
997140,train,,,Dataset_new/train/997140_sat.jpg,Dataset_new/train_labels/997140_mask.png,,
99706,train,,,Dataset_new/train/99706_sat.jpg,Dataset_new/train_labels/99706_mask.png,,
996972,train,,,Dataset_new/train/996972_sat.jpg,Dataset_new/train_labels/996972_mask.png,,
996964,train,,,Dataset_new/train/996964_sat.jpg,Dataset_new/train_labels/996964_mask.png,,
996898,train,,,Dataset_new/train/996898_sat.jpg,Dataset_new/train_labels/996898_mask.png,,
996759,train,,,Dataset_new/train/996759_sat.jpg,Dataset_new/train_labels/996759_mask.png,,
99665,train,,,Dataset_new/train/99665_sat.jpg,Dataset_new/train_labels/99665_mask.png,,
99639,train,,,Dataset_new/train/99639_sat.jpg,Dataset_new/train_labels/99639_mask.png,,
996111,train,,,Dataset_new/train/996111_sat.jpg,Dataset_new/train_labels/996111_mask.png,,
996088,train,,,Dataset_new/train/996088_sat.jpg,Dataset_new/train_labels/996088_mask.png,,
995848,train,,,Dataset_new/train/995848_sat.jpg,Dataset_new/train_labels/995848_mask.png,,
995758,train,,,Dataset_new/train/995758_sat.jpg,Dataset_new/train_labels/995758_mask.png,,
995739,train,,,Dataset_new/train/995739_sat.jpg,Dataset_new/train_labels/995739_mask.png,,
995558,train,,,Dataset_new/train/995558_sat.jpg,Dataset_new/train_labels/995558_mask.png,,
995305,train,,,Dataset_new/train/995305_sat.jpg,Dataset_new/train_labels/995305_mask.png,,
995287,train,,,Dataset_new/train/995287_sat.jpg,Dataset_new/train_labels/995287_mask.png,,
994957,train,,,Dataset_new/train/994957_sat.jpg,Dataset_new/train_labels/994957_mask.png,,
994850,train,,,Dataset_new/train/994850_sat.jpg,Dataset_new/train_labels/994850_mask.png,,
994421,train,,,Dataset_new/train/994421_sat.jpg,Dataset_new/train_labels/994421_mask.png,,
994363,train,,,Dataset_new/train/994363_sat.jpg,Dataset_new/train_labels/994363_mask.png,,
994121,train,,,Dataset_new/train/994121_sat.jpg,Dataset_new/train_labels/994121_mask.png,,
993822,train,,,Dataset_new/train/993822_sat.jpg,Dataset_new/train_labels/993822_mask.png,,
9937,train,,,Dataset_new/train/9937_sat.jpg,Dataset_new/train_labels/9937_mask.png,,
993763,train,,,Dataset_new/train/993763_sat.jpg,Dataset_new/train_labels/993763_mask.png,,
99367,train,,,Dataset_new/train/99367_sat.jpg,Dataset_new/train_labels/99367_mask.png,,
993512,train,,,Dataset_new/train/993512_sat.jpg,Dataset_new/train_labels/993512_mask.png,,
993491,train,,,Dataset_new/train/993491_sat.jpg,Dataset_new/train_labels/993491_mask.png,,
993483,train,,,Dataset_new/train/993483_sat.jpg,Dataset_new/train_labels/993483_mask.png,,
993412,train,,,Dataset_new/train/993412_sat.jpg,Dataset_new/train_labels/993412_mask.png,,
993226,train,,,Dataset_new/train/993226_sat.jpg,Dataset_new/train_labels/993226_mask.png,,
993012,train,,,Dataset_new/train/993012_sat.jpg,Dataset_new/train_labels/993012_mask.png,,
992768,train,,,Dataset_new/train/992768_sat.jpg,Dataset_new/train_labels/992768_mask.png,,
992526,train,,,Dataset_new/train/992526_sat.jpg,Dataset_new/train_labels/992526_mask.png,,
992343,train,,,Dataset_new/train/992343_sat.jpg,Dataset_new/train_labels/992343_mask.png,,
992317,train,,,Dataset_new/train/992317_sat.jpg,Dataset_new/train_labels/992317_mask.png,,
992083,train,,,Dataset_new/train/992083_sat.jpg,Dataset_new/train_labels/992083_mask.png,,
991988,train,,,Dataset_new/train/991988_sat.jpg,Dataset_new/train_labels/991988_mask.png,,
991845,train,,,Dataset_new/train/991845_sat.jpg,Dataset_new/train_labels/991845_mask.png,,
991461,train,,,Dataset_new/train/991461_sat.jpg,Dataset_new/train_labels/991461_mask.png,,
991392,train,,,Dataset_new/train/991392_sat.jpg,Dataset_new/train_labels/991392_mask.png,,
991373,train,,,Dataset_new/train/991373_sat.jpg,Dataset_new/train_labels/991373_mask.png,,
991347,train,,,Dataset_new/train/991347_sat.jpg,Dataset_new/train_labels/991347_mask.png,,
991243,train,,,Dataset_new/train/991243_sat.jpg,Dataset_new/train_labels/991243_mask.png,,
990851,train,,,Dataset_new/train/990851_sat.jpg,Dataset_new/train_labels/990851_mask.png,,
990561,train,,,Dataset_new/train/990561_sat.jpg,Dataset_new/train_labels/990561_mask.png,,
990503,train,,,Dataset_new/train/990503_sat.jpg,Dataset_new/train_labels/990503_mask.png,,
990478,train,,,Dataset_new/train/990478_sat.jpg,Dataset_new/train_labels/990478_mask.png,,
990181,train,,,Dataset_new/train/990181_sat.jpg,Dataset_new/train_labels/990181_mask.png,,
990140,train,,,Dataset_new/train/990140_sat.jpg,Dataset_new/train_labels/990140_mask.png,,
990020,train,,,Dataset_new/train/990020_sat.jpg,Dataset_new/train_labels/990020_mask.png,,
989763,train,,,Dataset_new/train/989763_sat.jpg,Dataset_new/train_labels/989763_mask.png,,
989480,train,,,Dataset_new/train/989480_sat.jpg,Dataset_new/train_labels/989480_mask.png,,
989455,train,,,Dataset_new/train/989455_sat.jpg,Dataset_new/train_labels/989455_mask.png,,
989398,train,,,Dataset_new/train/989398_sat.jpg,Dataset_new/train_labels/989398_mask.png,,
989343,train,,,Dataset_new/train/989343_sat.jpg,Dataset_new/train_labels/989343_mask.png,,
989174,train,,,Dataset_new/train/989174_sat.jpg,Dataset_new/train_labels/989174_mask.png,,
989146,train,,,Dataset_new/train/989146_sat.jpg,Dataset_new/train_labels/989146_mask.png,,
988774,train,,,Dataset_new/train/988774_sat.jpg,Dataset_new/train_labels/988774_mask.png,,
988559,train,,,Dataset_new/train/988559_sat.jpg,Dataset_new/train_labels/988559_mask.png,,
988341,train,,,Dataset_new/train/988341_sat.jpg,Dataset_new/train_labels/988341_mask.png,,
987840,train,,,Dataset_new/train/987840_sat.jpg,Dataset_new/train_labels/987840_mask.png,,
987823,train,,,Dataset_new/train/987823_sat.jpg,Dataset_new/train_labels/987823_mask.png,,
987822,train,,,Dataset_new/train/987822_sat.jpg,Dataset_new/train_labels/987822_mask.png,,
987623,train,,,Dataset_new/train/987623_sat.jpg,Dataset_new/train_labels/987623_mask.png,,
987408,train,,,Dataset_new/train/987408_sat.jpg,Dataset_new/train_labels/987408_mask.png,,
987330,train,,,Dataset_new/train/987330_sat.jpg,Dataset_new/train_labels/987330_mask.png,,
9872,train,,,Dataset_new/train/9872_sat.jpg,Dataset_new/train_labels/9872_mask.png,,
986182,train,,,Dataset_new/train/986182_sat.jpg,Dataset_new/train_labels/986182_mask.png,,
98599,train,,,Dataset_new/train/98599_sat.jpg,Dataset_new/train_labels/98599_mask.png,,
985902,train,,,Dataset_new/train/985902_sat.jpg,Dataset_new/train_labels/985902_mask.png,,
